description,error,success,path,brief_description,group,correct,total
"CompilationError('run_dir/STACK_PERMUTATIONS_CHECK_IF_AN_ARRAY_IS_STACK_PERMUTATION_OF_OTHER.d(7): Error: semicolon expected following auto declaration, not `>`\nrun_dir/STACK_PERMUTATIONS_CHECK_IF_AN_ARRAY_IS_STACK_PERMUTATION_OF_OTHER.d(7): Error: found `>` instead of statement\nrun_dir/STACK_PERMUTATIONS_CHECK_IF_AN_ARRAY_IS_STACK_PERMUTATION_OF_OTHER.d(11): Error: semicolon expected following auto declaration, not `>`\nrun_dir/STACK_PERMUTATIONS_CHECK_IF_AN_ARRAY_IS_STACK_PERMUTATION_OF_OTHER.d(11): Error: found `>` instead of statement\nrun_dir/STACK_PERMUTATIONS_CHECK_IF_AN_ARRAY_IS_STACK_PERMUTATION_OF_OTHER.d(15): Error: semicolon expected following auto declaration, not `>`\nrun_dir/STACK_PERMUTATIONS_CHECK_IF_AN_ARRAY_IS_STACK_PERMUTATION_OF_OTHER.d(15): Error: found `>` instead of statement\n')",Compilation,False,STACK_PERMUTATIONS_CHECK_IF_AN_ARRAY_IS_STACK_PERMUTATION_OF_OTHER.d,"Error: semicolon expected following auto declaration, not `>`",1,,
"CompilationError('run_dir/POLICEMEN_CATCH_THIEVES.d(8): Error: semicolon expected following auto declaration, not `>`\nrun_dir/POLICEMEN_CATCH_THIEVES.d(8): Error: found `>` instead of statement\nrun_dir/POLICEMEN_CATCH_THIEVES.d(9): Error: semicolon expected following auto declaration, not `>`\nrun_dir/POLICEMEN_CATCH_THIEVES.d(9): Error: found `>` instead of statement\n')",Compilation,False,POLICEMEN_CATCH_THIEVES.d,"Error: semicolon expected following auto declaration, not `>`",1,,
"CompilationError('run_dir/PROGRAM_PAGE_REPLACEMENT_ALGORITHMS_SET_2_FIFO.d(7): Error: semicolon expected following auto declaration, not `>`\nrun_dir/PROGRAM_PAGE_REPLACEMENT_ALGORITHMS_SET_2_FIFO.d(7): Error: found `>` instead of statement\nrun_dir/PROGRAM_PAGE_REPLACEMENT_ALGORITHMS_SET_2_FIFO.d(8): Error: semicolon expected following auto declaration, not `>`\nrun_dir/PROGRAM_PAGE_REPLACEMENT_ALGORITHMS_SET_2_FIFO.d(8): Error: found `>` instead of statement\n')",Compilation,False,PROGRAM_PAGE_REPLACEMENT_ALGORITHMS_SET_2_FIFO.d,"Error: semicolon expected following auto declaration, not `>`",1,,
"CompilationError('run_dir/MAXIMUM_CONSECUTIVE_NUMBERS_PRESENT_ARRAY.d(7): Error: semicolon expected following auto declaration, not `>`\nrun_dir/MAXIMUM_CONSECUTIVE_NUMBERS_PRESENT_ARRAY.d(7): Error: found `>` instead of statement\n')",Compilation,False,MAXIMUM_CONSECUTIVE_NUMBERS_PRESENT_ARRAY.d,"Error: semicolon expected following auto declaration, not `>`",1,,
"CompilationError('run_dir/PAIR_WITH_GIVEN_PRODUCT_SET_1_FIND_IF_ANY_PAIR_EXISTS_1.d(7): Error: semicolon expected following auto declaration, not `>`\nrun_dir/PAIR_WITH_GIVEN_PRODUCT_SET_1_FIND_IF_ANY_PAIR_EXISTS_1.d(7): Error: found `>` instead of statement\n')",Compilation,False,PAIR_WITH_GIVEN_PRODUCT_SET_1_FIND_IF_ANY_PAIR_EXISTS_1.d,"Error: semicolon expected following auto declaration, not `>`",1,,
"CompilationError('run_dir/COUNT_PAIRS_TWO_SORTED_ARRAYS_WHOSE_SUM_EQUAL_GIVEN_VALUE_X_1.d(8): Error: semicolon expected following auto declaration, not `>`\nrun_dir/COUNT_PAIRS_TWO_SORTED_ARRAYS_WHOSE_SUM_EQUAL_GIVEN_VALUE_X_1.d(8): Error: found `>` instead of statement\n')",Compilation,False,COUNT_PAIRS_TWO_SORTED_ARRAYS_WHOSE_SUM_EQUAL_GIVEN_VALUE_X_1.d,"Error: semicolon expected following auto declaration, not `>`",1,,
"CompilationError('run_dir/K_TH_LARGEST_SUM_CONTIGUOUS_SUBARRAY.d(12): Error: semicolon expected following auto declaration, not `>`\nrun_dir/K_TH_LARGEST_SUM_CONTIGUOUS_SUBARRAY.d(12): Error: found `>` instead of statement\n')",Compilation,False,K_TH_LARGEST_SUM_CONTIGUOUS_SUBARRAY.d,"Error: semicolon expected following auto declaration, not `>`",1,,
"CompilationError('run_dir/FIND_SUM_NON_REPEATING_DISTINCT_ELEMENTS_ARRAY.d(8): Error: semicolon expected following auto declaration, not `>`\nrun_dir/FIND_SUM_NON_REPEATING_DISTINCT_ELEMENTS_ARRAY.d(8): Error: found `>` instead of statement\n')",Compilation,False,FIND_SUM_NON_REPEATING_DISTINCT_ELEMENTS_ARRAY.d,"Error: semicolon expected following auto declaration, not `>`",1,,
"CompilationError('run_dir/NUMBER_VISIBLE_BOXES_PUTTING_ONE_INSIDE_ANOTHER.d(7): Error: semicolon expected following auto declaration, not `>`\nrun_dir/NUMBER_VISIBLE_BOXES_PUTTING_ONE_INSIDE_ANOTHER.d(7): Error: found `>` instead of statement\n')",Compilation,False,NUMBER_VISIBLE_BOXES_PUTTING_ONE_INSIDE_ANOTHER.d,"Error: semicolon expected following auto declaration, not `>`",1,,
"CompilationError('run_dir/CHECK_EXIST_TWO_ELEMENTS_ARRAY_WHOSE_SUM_EQUAL_SUM_REST_ARRAY.d(15): Error: semicolon expected following auto declaration, not `>`\nrun_dir/CHECK_EXIST_TWO_ELEMENTS_ARRAY_WHOSE_SUM_EQUAL_SUM_REST_ARRAY.d(15): Error: found `>` instead of statement\n')",Compilation,False,CHECK_EXIST_TWO_ELEMENTS_ARRAY_WHOSE_SUM_EQUAL_SUM_REST_ARRAY.d,"Error: semicolon expected following auto declaration, not `>`",1,,
"CompilationError('run_dir/ELEMENTS_TO_BE_ADDED_SO_THAT_ALL_ELEMENTS_OF_A_RANGE_ARE_PRESENT_IN_ARRAY_1.d(7): Error: semicolon expected following auto declaration, not `>`\nrun_dir/ELEMENTS_TO_BE_ADDED_SO_THAT_ALL_ELEMENTS_OF_A_RANGE_ARE_PRESENT_IN_ARRAY_1.d(7): Error: found `>` instead of statement\n')",Compilation,False,ELEMENTS_TO_BE_ADDED_SO_THAT_ALL_ELEMENTS_OF_A_RANGE_ARE_PRESENT_IN_ARRAY_1.d,"Error: semicolon expected following auto declaration, not `>`",1,,
"CompilationError('run_dir/DYNAMIC_PROGRAMMING_SET_37_BOOLEAN_PARENTHESIZATION_PROBLEM.d(8): Error: instead of C-style syntax, use D-style `int[][] F`\nrun_dir/DYNAMIC_PROGRAMMING_SET_37_BOOLEAN_PARENTHESIZATION_PROBLEM.d(9): Error: instead of C-style syntax, use D-style `int[][] T`\nrun_dir/DYNAMIC_PROGRAMMING_SET_37_BOOLEAN_PARENTHESIZATION_PROBLEM.d(47): Error: found `End of File` when expecting `}` following compound statement\nrun_dir/DYNAMIC_PROGRAMMING_SET_37_BOOLEAN_PARENTHESIZATION_PROBLEM.d(47): Error: found `End of File` when expecting `}` following compound statement\nrun_dir/DYNAMIC_PROGRAMMING_SET_37_BOOLEAN_PARENTHESIZATION_PROBLEM.d(47): Error: found `End of File` when expecting `}` following compound statement\nrun_dir/DYNAMIC_PROGRAMMING_SET_37_BOOLEAN_PARENTHESIZATION_PROBLEM.d(47): Error: found `End of File` when expecting `}` following compound statement\nrun_dir/DYNAMIC_PROGRAMMING_SET_37_BOOLEAN_PARENTHESIZATION_PROBLEM.d(47): Error: found `End of File` when expecting `}` following compound statement\n')",Compilation,False,DYNAMIC_PROGRAMMING_SET_37_BOOLEAN_PARENTHESIZATION_PROBLEM.d,"Error: instead of C-style syntax, use D-style `int[][] F`",2,,
"CompilationError('run_dir/SEQUENCES_GIVEN_LENGTH_EVERY_ELEMENT_EQUAL_TWICE_PREVIOUS_1.d(7): Error: instead of C-style syntax, use D-style `int[n + 1][m + 1] T`\n')",Compilation,False,SEQUENCES_GIVEN_LENGTH_EVERY_ELEMENT_EQUAL_TWICE_PREVIOUS_1.d,"Error: instead of C-style syntax, use D-style `int[n + 1][m + 1] T`",2,,
"CompilationError('run_dir/FRIENDS_PAIRING_PROBLEM.d(7): Error: instead of C-style syntax, use D-style `int[n + 1] dp`\n')",Compilation,False,FRIENDS_PAIRING_PROBLEM.d,"Error: instead of C-style syntax, use D-style `int[n + 1] dp`",2,,
"CompilationError('run_dir/MAXIMUM_SUBARRAY_SUM_USING_PREFIX_SUM.d(9): Error: instead of C-style syntax, use D-style `int[] prefixSum`\n')",Compilation,False,MAXIMUM_SUBARRAY_SUM_USING_PREFIX_SUM.d,"Error: instead of C-style syntax, use D-style `int[] prefixSum`",2,,
"CompilationError('run_dir/FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S.d(7): Error: instead of C-style syntax, use D-style `int[m + 1][n + 1] dp`\nrun_dir/FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S.d(8): Error: semicolon needed to end declaration of `row` instead of `in`\nrun_dir/FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S.d(8): Error: expression expected, not `in`\nrun_dir/FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S.d(8): Error: found `dp` when expecting `;` following `for` condition\n')",Compilation,False,FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S.d,"Error: instead of C-style syntax, use D-style `int[m + 1][n + 1] dp`",2,,
"CompilationError('run_dir/TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS.d(7): Error: instead of C-style syntax, use D-style `int[n + 1][10] dp`\n')",Compilation,False,TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS.d,"Error: instead of C-style syntax, use D-style `int[n + 1][10] dp`",2,,
"CompilationError('run_dir/RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1.d(7): Error: instead of C-style syntax, use D-style `int[] dp`\n')",Compilation,False,RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1.d,"Error: instead of C-style syntax, use D-style `int[] dp`",2,,
"CompilationError('run_dir/NUMBER_N_DIGIT_STEPPING_NUMBERS.d(7): Error: instead of C-style syntax, use D-style `int[10][n + 1] dp`\n')",Compilation,False,NUMBER_N_DIGIT_STEPPING_NUMBERS.d,"Error: instead of C-style syntax, use D-style `int[10][n + 1] dp`",2,,
"CompilationError('run_dir/REMOVE_ARRAY_END_ELEMENT_MAXIMIZE_SUM_PRODUCT.d(6): Error: instead of C-style syntax, use D-style `int[][] dp`\nrun_dir/REMOVE_ARRAY_END_ELEMENT_MAXIMIZE_SUM_PRODUCT.d(6): Error: instead of C-style syntax, use D-style `int[] a`\nrun_dir/REMOVE_ARRAY_END_ELEMENT_MAXIMIZE_SUM_PRODUCT.d(28): Error: found `End of File` when expecting `}` following compound statement\n')",Compilation,False,REMOVE_ARRAY_END_ELEMENT_MAXIMIZE_SUM_PRODUCT.d,"Error: instead of C-style syntax, use D-style `int[][] dp`",2,,
"CompilationError('run_dir/MAXIMUM_NUMBER_SEGMENTS_LENGTHS_B_C.d(7): Error: instead of C-style syntax, use D-style `int[n + 10] dp`\n')",Compilation,False,MAXIMUM_NUMBER_SEGMENTS_LENGTHS_B_C.d,"Error: instead of C-style syntax, use D-style `int[n + 10] dp`",2,,
"CompilationError('run_dir/FIND_NUMBER_TIMES_STRING_OCCURS_GIVEN_STRING_1.d(9): Error: instead of C-style syntax, use D-style `int[n + 1][m + 1] lookup`\n')",Compilation,False,FIND_NUMBER_TIMES_STRING_OCCURS_GIVEN_STRING_1.d,"Error: instead of C-style syntax, use D-style `int[n + 1][m + 1] lookup`",2,,
"CompilationError('run_dir/MAXIMUM_SUM_2_X_N_GRID_NO_TWO_ELEMENTS_ADJACENT.d(6): Error: instead of C-style syntax, use D-style `int[][] grid`\n')",Compilation,False,MAXIMUM_SUM_2_X_N_GRID_NO_TWO_ELEMENTS_ADJACENT.d,"Error: instead of C-style syntax, use D-style `int[][] grid`",2,,
"CompilationError('run_dir/PROGRAM_TO_CHECK_IF_A_GIVEN_NUMBER_IS_LUCKY_ALL_DIGITS_ARE_DIFFERENT.d(7): Error: instead of C-style syntax, use D-style `bool[10] arr`\n')",Compilation,False,PROGRAM_TO_CHECK_IF_A_GIVEN_NUMBER_IS_LUCKY_ALL_DIGITS_ARE_DIFFERENT.d,"Error: instead of C-style syntax, use D-style `bool[10] arr`",2,,
"CompilationError('run_dir/COUNT_DISTINCT_OCCURRENCES_AS_A_SUBSEQUENCE.d(10): Error: instead of C-style syntax, use D-style `int[n + 1][m + 1] mat`\n')",Compilation,False,COUNT_DISTINCT_OCCURRENCES_AS_A_SUBSEQUENCE.d,"Error: instead of C-style syntax, use D-style `int[n + 1][m + 1] mat`",2,,
"CompilationError('run_dir/NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH.d(7): Error: instead of C-style syntax, use D-style `int[n + 1] BT`\n')",Compilation,False,NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH.d,"Error: instead of C-style syntax, use D-style `int[n + 1] BT`",2,,
"CompilationError('run_dir/COUNT_PALINDROME_SUB_STRINGS_STRING.d(7): Error: instead of C-style syntax, use D-style `int[][] dp`\nrun_dir/COUNT_PALINDROME_SUB_STRINGS_STRING.d(8): Error: instead of C-style syntax, use D-style `bool[][] P`\n')",Compilation,False,COUNT_PALINDROME_SUB_STRINGS_STRING.d,"Error: instead of C-style syntax, use D-style `int[][] dp`",2,,
"CompilationError('run_dir/SUM_BINOMIAL_COEFFICIENTS.d(7): Error: instead of C-style syntax, use D-style `int[n + 1][n + 1] C`\n')",Compilation,False,SUM_BINOMIAL_COEFFICIENTS.d,"Error: instead of C-style syntax, use D-style `int[n + 1][n + 1] C`",2,,
"CompilationError('run_dir/COUNT_WAYS_BUILD_STREET_GIVEN_CONSTRAINTS.d(7): Error: instead of C-style syntax, use D-style `long[n + 1][2] dp`\n')",Compilation,False,COUNT_WAYS_BUILD_STREET_GIVEN_CONSTRAINTS.d,"Error: instead of C-style syntax, use D-style `long[n + 1][2] dp`",2,,
"CompilationError('run_dir/LENGTH_OF_THE_LONGEST_ARITHMATIC_PROGRESSION_IN_A_SORTED_ARRAY.d(8): Error: instead of C-style syntax, use D-style `int[n][n] L`\n')",Compilation,False,LENGTH_OF_THE_LONGEST_ARITHMATIC_PROGRESSION_IN_A_SORTED_ARRAY.d,"Error: instead of C-style syntax, use D-style `int[n][n] L`",2,,
"CompilationError('run_dir/LEONARDO_NUMBER_1.d(7): Error: instead of C-style syntax, use D-style `int[n + 1] dp`\n')",Compilation,False,LEONARDO_NUMBER_1.d,"Error: instead of C-style syntax, use D-style `int[n + 1] dp`",2,,
"CompilationError('run_dir/WAYS_TRANSFORMING_ONE_STRING_REMOVING_0_CHARACTERS.d(11): Error: instead of C-style syntax, use D-style `int[n + 1][m + 1] dp`\n')",Compilation,False,WAYS_TRANSFORMING_ONE_STRING_REMOVING_0_CHARACTERS.d,"Error: instead of C-style syntax, use D-style `int[n + 1][m + 1] dp`",2,,
"CompilationError('run_dir/MOBILE_NUMERIC_KEYPAD_PROBLEM.d(7): Error: instead of C-style syntax, use D-style `char[][] keypad`\nrun_dir/MOBILE_NUMERIC_KEYPAD_PROBLEM.d(42): Error: found `End of File` when expecting `}` following compound statement\nrun_dir/MOBILE_NUMERIC_KEYPAD_PROBLEM.d(42): Error: found `End of File` when expecting `}` following compound statement\nrun_dir/MOBILE_NUMERIC_KEYPAD_PROBLEM.d(42): Error: found `End of File` when expecting `}` following compound statement\n')",Compilation,False,MOBILE_NUMERIC_KEYPAD_PROBLEM.d,"Error: instead of C-style syntax, use D-style `char[][] keypad`",2,,
"CompilationError('run_dir/MINIMUM_TIME_WRITE_CHARACTERS_USING_INSERT_DELETE_COPY_OPERATION.d(9): Error: instead of C-style syntax, use D-style `int[N + 1] dp`\n')",Compilation,False,MINIMUM_TIME_WRITE_CHARACTERS_USING_INSERT_DELETE_COPY_OPERATION.d,"Error: instead of C-style syntax, use D-style `int[N + 1] dp`",2,,
"CompilationError('run_dir/FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS.d(7): Error: instead of C-style syntax, use D-style `int[n + 1][n + 1] C`\n')",Compilation,False,FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS.d,"Error: instead of C-style syntax, use D-style `int[n + 1][n + 1] C`",2,,
"CompilationError('run_dir/MAXIMUM_SUM_SUBSEQUENCE_LEAST_K_DISTANT_ELEMENTS.d(7): Error: instead of C-style syntax, use D-style `int[N] MS`\n')",Compilation,False,MAXIMUM_SUM_SUBSEQUENCE_LEAST_K_DISTANT_ELEMENTS.d,"Error: instead of C-style syntax, use D-style `int[N] MS`",2,,
"CompilationError('run_dir/LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING.d(9): Error: instead of C-style syntax, use D-style `int[][] LCSRe`\n')",Compilation,False,LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING.d,"Error: instead of C-style syntax, use D-style `int[][] LCSRe`",2,,
"CompilationError('run_dir/LONGEST_COMMON_SUBSTRING.d(7): Error: instead of C-style syntax, use D-style `int[n + 1][m + 1] LCStuff`\n')",Compilation,False,LONGEST_COMMON_SUBSTRING.d,"Error: instead of C-style syntax, use D-style `int[n + 1][m + 1] LCStuff`",2,,
"CompilationError('run_dir/COMPUTE_NCR_P_SET_1_INTRODUCTION_AND_DYNAMIC_PROGRAMMING_SOLUTION.d(7): Error: instead of C-style syntax, use D-style `int[r + 1] C`\n')",Compilation,False,COMPUTE_NCR_P_SET_1_INTRODUCTION_AND_DYNAMIC_PROGRAMMING_SOLUTION.d,"Error: instead of C-style syntax, use D-style `int[r + 1] C`",2,,
"CompilationError('run_dir/MAXIMUM_WEIGHT_PATH_ENDING_ELEMENT_LAST_ROW_MATRIX.d(6): Error: instead of C-style syntax, use D-style `int[][] mat`\nrun_dir/MAXIMUM_WEIGHT_PATH_ENDING_ELEMENT_LAST_ROW_MATRIX.d(7): Error: instead of C-style syntax, use D-style `int[][] dp`\n')",Compilation,False,MAXIMUM_WEIGHT_PATH_ENDING_ELEMENT_LAST_ROW_MATRIX.d,"Error: instead of C-style syntax, use D-style `int[][] mat`",2,,
"CompilationError('run_dir/SPACE_OPTIMIZED_SOLUTION_LCS.d(8): Error: instead of C-style syntax, use D-style `int[n + 1][2] L`\n')",Compilation,False,SPACE_OPTIMIZED_SOLUTION_LCS.d,"Error: instead of C-style syntax, use D-style `int[n + 1][2] L`",2,,
"CompilationError('run_dir/CHECK_POSSIBLE_TRANSFORM_ONE_STRING_ANOTHER.d(9): Error: instead of C-style syntax, use D-style `bool[m + 1][n + 1] dp`\n')",Compilation,False,CHECK_POSSIBLE_TRANSFORM_ONE_STRING_ANOTHER.d,"Error: instead of C-style syntax, use D-style `bool[m + 1][n + 1] dp`",2,,
"CompilationError('run_dir/LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K.d(9): Error: instead of C-style syntax, use D-style `int[][] lcs`\nrun_dir/LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K.d(10): Error: instead of C-style syntax, use D-style `int[][] cnt`\n')",Compilation,False,LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K.d,"Error: instead of C-style syntax, use D-style `int[][] lcs`",2,,
